"sponsor","district","party","number","short_description","chamber","last_action","last_action_date"
"John J. Cullerton","6","D","SB3635","$SWIDA FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3636","$ICCB FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3637","$U OF I FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3638","$CJIA FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3639","$SIU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3640","$NIU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3641","$ISU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3642","$WIU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3643","$NEIU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3644","$GSU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3645","$EIU FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3646","$SUCSS FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3647","$ARTS COUNCIL FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3648","$DOC FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3649","$IDES FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3650","$DFPR FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3651","$DOR FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3652","$DHR FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3653","$FY15 DOI OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SB3655","$LT GOV FY15 OCE","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SR54","SENATE RULES-AMEND","S","Resolution Adopted as Amended 057-000-000","2/14/2013"
"John J. Cullerton","6","D","SR76","MEMORIAL - WILLIAM CULLERTON","S","Resolution Adopted","2/7/2013"
"John J. Cullerton","6","D","SR132","MEMORIAL SHANNON J SMITH","S","Resolution Adopted","3/1/2013"
"John J. Cullerton","6","D","SR136","MEMORIAL MARY ANN MCMORROW","S","Resolution Adopted","3/7/2013"
"John J. Cullerton","6","D","SR142","MEMORIAL FREDA ARON","S","Resolution Adopted","3/7/2013"
"John J. Cullerton","6","D","SR144","MEMORIAL - DAWN CLARK NETSCH","S","Resolution Adopted","3/7/2013"
"John J. Cullerton","6","D","SR146","DISAPPROVE E.O. 12-03","S","Resolution Adopted; 057-000-000","3/7/2013"
"John J. Cullerton","6","D","SR232","IOC-REINSTATE WRESTLING","S","Resolution Adopted; 054-000-000","5/2/2013"
"John J. Cullerton","6","D","SR256","PARKS AND PARK DIST DAY","S","Resolution Adopted","5/1/2013"
"John J. Cullerton","6","D","SR284","MEMORIAL MOSES W HARRISON II","S","Resolution Adopted","5/9/2013"
"John J. Cullerton","6","D","SR357","DISAPPROVE E.O. 13-05","S","Resolution Adopted; 055-001-002","5/31/2013"
"John J. Cullerton","6","D","SR477","MEMORIAL - NORINNE NICHOLSON","S","Resolution Adopted","10/23/2013"
"John J. Cullerton","6","D","SR708","MEMORIAL - DEVERRA BEVERLY","S","Resolution Adopted","12/3/2013"
"John J. Cullerton","6","D","SR731","MEMORIAL - JOHN E. REDNOUR SR.","S","Resolution Adopted","12/3/2013"
"John J. Cullerton","6","D","SR843","MEMORIAL - LEXIE KAMERMAN","S","Resolution Adopted","1/29/2014"
"John J. Cullerton","6","D","SR934","MEMORIAL - ANTHONY J. CICCHINO","S","Resolution Adopted","2/20/2014"
"John J. Cullerton","6","D","SR946","NORTH KOREAN RIGHTS","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SR956","MEMORIAL - GERALDINE WOOD","S","Resolution Adopted","2/27/2014"
"John J. Cullerton","6","D","SR1052","WORKERS MEMORIAL DAY","S","Resolution Adopted","4/10/2014"
"John J. Cullerton","6","D","SR1122","MEMORIAL - JOHN A. PATTERSON","S","Resolution Adopted","5/1/2014"
"John J. Cullerton","6","D","SR1282","DISAPPROVE E.O. 4, 5, AND 6","S","Resolution Adopted; 054-000-000","5/30/2014"
"John J. Cullerton","6","D","SR1416","MEMORIAL - RONALD HOPWOOD, SR.","S","Resolution Adopted","11/20/2014"
"John J. Cullerton","6","D","SR1692","RECOGNZE - SEN. M. FRERICHS","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SR1693","THANKS - SEN. MIKE JACOBS","S","Resolution Adopted","12/3/2014"
"John J. Cullerton","6","D","SJR58","PHARMACIES - TOBACCO PRODUCTS","S","Session Sine Die","1/13/2015"
"John J. Cullerton","6","D","SJR70","FIRE PREVENTION/EDUCATION TF","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB494","COUNTIES-REDUCTION-EFFICIENCY","S","Public Act . . . . . . . . . 98-0126","8/2/2013"
"Thomas Cullerton","23","D","SB508","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB1103","OCCUPATIONAL SAFETY HEALTH ACT","S","Public Act . . . . . . . . . 98-0874","8/11/2014"
"Thomas Cullerton","23","D","SB1155","CNTY MUNI-CRIME FREE HOUSING","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB1410","PARKS ANNUAL APPROPRIATION","S","Public Act . . . . . . . . . 98-0278","8/9/2013"
"Thomas Cullerton","23","D","SB1869","MUNI-DRAINAGE MAINTENANCE","S","Public Act . . . . . . . . . 98-0330","8/13/2013"
"Thomas Cullerton","23","D","SB1947","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2610","COMM RAIL-DISCRETIONARY FUNDS","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2728","IL COM COL BD-EXEC DIRECTOR","S","Public Act . . . . . . . . . 98-0790","7/25/2014"
"Thomas Cullerton","23","D","SB2772","MUNI CODE-TOURISM FUNDS","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2894","REVENUE-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2895","REVENUE-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2896","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2897","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2919","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2973","WIRELESS SURCHARGE-RETAIN","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB2974","EDGE-HARDWARE WHOLESALE","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB3255","VEH CD - DISABLED VET PARKING","S","Public Act . . . . . . . . . 98-0879","8/12/2014"
"Thomas Cullerton","23","D","SB3284","BEER INDUSTRY-PAY COMPENSATION","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB3431","EPA-COAL TAR BAN","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SB3432","EMS-BLOOD & INFECTIOUS DISEASE","S","Public Act . . . . . . . . . 98-0851","8/1/2014"
"Thomas Cullerton","23","D","SB3668","COUNTIES-TOURISM DISCLOSURE","S","Session Sine Die","1/13/2015"
"Thomas Cullerton","23","D","SR863","MEMORIAL - K. ""TINKER"" HARVEY","S","Resolution Adopted","2/5/2014"
"Thomas Cullerton","23","D","SR864","MEMORIAL - THOMAS VOLZ","S","Resolution Adopted","2/5/2014"
"Thomas Cullerton","23","D","SR865","MEMORIAL - FREDERICK FLEMING","S","Resolution Adopted","2/5/2014"
"Thomas Cullerton","23","D","SR866","MEMORIAL - FRANK A. AMORE","S","Resolution Adopted","2/5/2014"
"Thomas Cullerton","23","D","SR1172","A-2 BOTTLENECK","S","Resolution Adopted","5/30/2014"
"Thomas Cullerton","23","D","SR1301","MEMORIAL - JOHN SPINELLI","S","Resolution Adopted","11/20/2014"
"Bill Cunningham","18","D","SB74","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB75","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB76","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB77","SAFETY-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1230","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1231","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1232","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1250","LOCAL GOV-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1499","FOREST PRESERVE EASEMENT","S","Public Act . . . . . . . . . 98-0281","8/9/2013"
"Bill Cunningham","18","D","SB1500","CIV PRO-PERSONAL JURISDICTION","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1564","PEN CD-CHI FIRE-GAMING FUNDS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB1678","SAFETY-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2145","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2146","COURTS-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2147","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2148","CORRECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2149","CORRECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2150","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2151","PUBLIC AID-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2152","$ISBE-TEXTBOOKS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2153","FOIA-COUNTY INMATE REQUESTS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2154","RECKLESS DRIVING","S","Public Act . . . . . . . . . 98-0518","8/22/2013"
"Bill Cunningham","18","D","SB2156","SCH CD-CHI-STANDARD TEST LIMIT","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2157","SCH CD-EXEMPT PHYS ED-DISABLED","S","Public Act . . . . . . . . . 98-0116","7/29/2013"
"Bill Cunningham","18","D","SB2613","CTY CD-SHERIFFS BOARD","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2616","QUICKTAKE-EVERGREEN PARK","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2710","SCH SAF DRILL-REVIEW-PRIV SCH","S","Public Act . . . . . . . . . 98-0663","6/23/2014"
"Bill Cunningham","18","D","SB2834","PENS CD-CHI FIRE-GAMING FUNDS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB2938","$ISBE-TEXTBOOKS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3071","LIBRARIES-CONTRACT BIDS","S","Public Act . . . . . . . . . 98-0952","8/15/2014"
"Bill Cunningham","18","D","SB3072","FOIA EXEMPTION-EMERGENCY CALLS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3073","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3419","VIDEO GAMING-LICENSE LIMITS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3420","COLLECTIVE BARGAIN-ARBITRATION","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3460","SCH CD-K-2 TESTING PROHIBITION","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3497","SCH CD-BACKGROUND CHECKS","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SB3679","VEH CD-DIESEL TRAIN IDLING","S","Session Sine Die","1/13/2015"
"Bill Cunningham","18","D","SR286","MEMORIAL KEVIN W SANDERS","S","Resolution Adopted","5/9/2013"
"Bill Cunningham","18","D","SR289","APRAXIA AWARENESS DAY","S","Resolution Adopted","5/14/2013"
"Bill Cunningham","18","D","SJRCA7","IL CON-JUDGE ARDC SCREENING","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB229","GUBERNATORIAL BDS-DEMOGRAPHIC","S","Public Act . . . . . . . . . 98-1087","8/26/2014"
"William Delgado","2","D","SB506","COUNTIES-CORONER-CONFLICTS","S","Public Act . . . . . . . . . 98-0812","8/1/2014"
"William Delgado","2","D","SB638","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB742","PUB AID-PERS NEEDS ALLOWANCE","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB856","SAFETY-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1191","CHILD CARE-UNSAFE PRODUCT LIST","S","Public Act . . . . . . . . . 98-0082","7/15/2013"
"William Delgado","2","D","SB1192","CD CORR-JUVENILE AFTERCARE","S","Public Act . . . . . . . . . 98-0558","8/27/2013"
"William Delgado","2","D","SB1451","$DPH-LOCAL HLTH PROTECTION","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1452","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1453","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1454","CONTROLLED SUBSTANCES-VARIOUS","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1455","SOCIAL WORK-CONTINUING ED.","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1565","PROBATE: SHORT-TERM GUARDIAN","S","Public Act . . . . . . . . . 98-0568","8/27/2013"
"William Delgado","2","D","SB1566","LIQUOR-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1567","MENTAL HEALTH FIRST AID TRAIN","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1568","WAGE PAYMENT AND COLLECTION","S","Public Act . . . . . . . . . 98-0527","8/23/2013"
"William Delgado","2","D","SB1569","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1570","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1571","SCH CD-CHI-CLOSURE MORATORIUM","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1572","SCH CD-REPORT-CHICAGO PRACTICE","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1573","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1574","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1807","MEDICAID PRIOR AUTHORIZATION","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1808","MEDICAID-APR-DRG PAYMNT SYSTM","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB1809","IDPH-MEDICAID PENALTY PAYMENTS","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2206","EDGE-TIF-BUSINESSES POST SIGN","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2208","PUBLIC AID-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2215","PUBLIC AID-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2692","CHILD CARE-INCOME THRESHOLDS","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2699","ADVANCED PLACEMENT EXAM-CREDIT","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2711","FINANCE-STATE BD OF EDU-GRANTS","S","Public Act . . . . . . . . . 98-1147","12/31/2014"
"William Delgado","2","D","SB2988","MED CANNABIS-DISPENSER-ZONING","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB2989","SCH CD-PSYCHOLOGIST-PRINCIPAL","S","Public Act . . . . . . . . . 98-0947","8/15/2014"
"William Delgado","2","D","SB2990","$DPH-LOCAL HLTH PROTECTION","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3092","EDUC DATA SYSTEM-PERSONAL INFO","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3134","CTY CD-CORONER DUTIES","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3166","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3180","GOV BDS-DEMOGRAPHIC INFO","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3256","MEDICAID-ID/DD-BILLING CLAIMS","S","Public Act . . . . . . . . . 98-0963","8/15/2014"
"William Delgado","2","D","SB3257","MEDICAID-PERSONAL NEEDS-ID/DD","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SB3575","SEX ORIENTATION CHANGE EFFORT","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SR243","FINANCIAL LITERACY TASK FORCE","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SR301","EARLY LITERACY","S","Resolution Adopted","5/30/2013"
"William Delgado","2","D","SR355","HFS - SMART ACT","S","Session Sine Die","1/13/2015"
"William Delgado","2","D","SR1230","MEMORIAL-ELIZABETH GLOWCZWSKI","S","Resolution Adopted","5/23/2014"
"William Delgado","2","D","SJR25","SCH CD MANDATE WAIVER REPORT","S","Adopted Both Houses","4/17/2013"
"William Delgado","2","D","SJR42","U.S. CONSTITUTIONAL CONVENTION","S","Adopted Both Houses","12/3/2014"
"William Delgado","2","D","SJR60","ILPMP MONTH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB578","SCH CD-VARIOUS REPEALS/DELETES","S","Public Act . . . . . . . . . 98-0610","12/27/2013"
"Kirk W. Dillard","24","R","SB1289","PEN CD-GARS-NO NEW MEMBERS","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB1397","IMSA-DOWNSTATE CAMPUS","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB1398","EARLY GRADUATION TUITION WAIVR","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB1414","CIV PRO-INSTRUCTION-LIABILITY","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB1415","BOARD OF REPEALERS","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB1439","RED CROSS LICENSE PLATES","S","Public Act . . . . . . . . . 98-0151","8/2/2013"
"Kirk W. Dillard","24","R","SB1746","COM COL-CONTRACT BID-EXCEPTION","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2002","TRUSTS-EXCLUDED FIDUCIARY","S","Public Act . . . . . . . . . 98-0866","8/8/2014"
"Kirk W. Dillard","24","R","SB2203","PENCD-STATE ACTUARY-FUNDING","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2273","CORRECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2274","CORRECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2275","CRIM CD&CD CORR-DEATH PENALTY","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2369","CIV UNION-RELIGIOUS-ADOPT AGCY","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2790","USE/OCC TAX-ROADS-BRIDGES","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2982","ELECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2983","ELECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB2984","TRUST-DISTRIBUTION-OTHER TRUST","S","Public Act . . . . . . . . . 98-0946","8/15/2014"
"Kirk W. Dillard","24","R","SB3275","CONTROLLED SUB-SCH-1","S","Public Act . . . . . . . . . 98-0987","8/18/2014"
"Kirk W. Dillard","24","R","SB3295","HEALTH EXCHANGE-G.A. MEMBERS","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB3468","MHDDC-ADMISSION-MINOR","S","Public Act . . . . . . . . . 98-0975","8/15/2014"
"Kirk W. Dillard","24","R","SB3469","CONT SUB-FACTORS-SENTENCE","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB3470","CRIMINAL CANNABIS CONSPIRACY","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SB3550","CIVIL LAW-TECH","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SR26","MEMORIAL - ROBERT MAGNUSON","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR27","MEMORIAL - PAUL FROMER","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR28","MEMORIAL - SUSAN MCGUIRE","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR29","MEMORIAL - WILLIAM GAHLBERG","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR30","MEMORIAL - JOSEPH GRAZIANO","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR64","MEMORIAL RODNEY C PENNINGTON","S","Resolution Adopted","2/7/2013"
"Kirk W. Dillard","24","R","SR86","MEMORIAL FRANK R WITT","S","Resolution Adopted","2/14/2013"
"Kirk W. Dillard","24","R","SR148","MEMORIAL JACK ALLEN TOSH","S","Resolution Adopted","3/14/2013"
"Kirk W. Dillard","24","R","SR285","MEMORIAL SUZANNE COOKE","S","Resolution Adopted","5/9/2013"
"Kirk W. Dillard","24","R","SR379","MEMORIAL - JOSEPH GIRGIS","S","Resolution Adopted","6/19/2013"
"Kirk W. Dillard","24","R","SR388","MEMORIAL - DAN E. BLUTHARDT","S","Resolution Adopted","7/9/2013"
"Kirk W. Dillard","24","R","SR485","MEMORIAL - BARBARA HUDSON","S","Resolution Adopted","10/23/2013"
"Kirk W. Dillard","24","R","SR542","MEMORIAL CONSTANCE ZIMMERMANN","S","Resolution Adopted","10/23/2013"
"Kirk W. Dillard","24","R","SR543","MEMORIAL - DONALD ECKMANN","S","Resolution Adopted","10/23/2013"
"Kirk W. Dillard","24","R","SR606","MEMORIAL THOMAS R. FITZSIMONS","S","Resolution Adopted","10/23/2013"
"Kirk W. Dillard","24","R","SR607","MEMORIAL - DENNIS MURPHY","S","Resolution Adopted","10/23/2013"
"Kirk W. Dillard","24","R","SR666","MEMORIAL - HUGH HILL","S","Resolution Adopted","11/7/2013"
"Kirk W. Dillard","24","R","SR721","MEMORIAL - RACHEL M. GIBSON","S","Resolution Adopted","12/3/2013"
"Kirk W. Dillard","24","R","SR763","MEMORIAL - ALDEN E. ORPUT","S","Resolution Adopted","1/29/2014"
"Kirk W. Dillard","24","R","SR827","MEMORIAL - WILLIAM RAHN","S","Resolution Adopted","1/29/2014"
"Kirk W. Dillard","24","R","SR828","MEMORIAL - HARRY STOMBERSKI","S","Resolution Adopted","1/29/2014"
"Kirk W. Dillard","24","R","SR857","MEMORIAL - MARGARET O. COFFIN","S","Resolution Adopted","2/5/2014"
"Kirk W. Dillard","24","R","SR858","IDOC HIRING AUDIT","S","Session Sine Die","1/13/2015"
"Kirk W. Dillard","24","R","SR881","MEMORIAL - DOROTHY DARROW","S","Resolution Adopted","2/5/2014"
"Kirk W. Dillard","24","R","SR882","MEMORIAL - DR. W. J. TANSEY II","S","Resolution Adopted","2/5/2014"
"Kirk W. Dillard","24","R","SR883","MEMORIAL - JOYCE E. SKOOG","S","Resolution Adopted","2/5/2014"
"Kirk W. Dillard","24","R","SR997","MEMORIAL - RICHARD WILLIAMSON","S","Resolution Adopted","3/21/2014"
"Kirk W. Dillard","24","R","SR1075","MEMORIAL - HELEN E. CHRISTY","S","Resolution Adopted","4/10/2014"
"Kirk W. Dillard","24","R","SR1110","MEMORIAL - BRUCE W. VIERNOW","S","Resolution Adopted","5/1/2014"
"Kirk W. Dillard","24","R","SR1119","MEMORIAL - ANN MCHUGH","S","Resolution Adopted","5/1/2014"
"Kirk W. Dillard","24","R","SR1125","MEMORIAL - KENNETH OESTERMEYER","S","Resolution Adopted","5/1/2014"
"Kirk W. Dillard","24","R","SR1126","MEMORIAL - HERBERT R. POHL JR.","S","Resolution Adopted","5/1/2014"
"Kirk W. Dillard","24","R","SR1190","MEMORIAL - ROBERT J. TOWERS","S","Resolution Adopted","5/15/2014"
"Kirk W. Dillard","24","R","SR1191","MEMORIAL - JACK J. MANNING","S","Resolution Adopted","5/15/2014"
"Kirk W. Dillard","24","R","SR1236","MEMORIAL - JACK K. LAHEY","S","Resolution Adopted","5/31/2014"
"Kirk W. Dillard","24","R","SJR41","STATE CAPITOL RENOVATION AUDIT","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SB1527","YELLOW TRAFFIC SIGNALS","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SB1684","APPOINTMENT-BOARD & DEPARTMENT","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SB2900","WORK ZONE SPEED LIMITS","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SB3320","DHFS-MEDICAID-VERIFICATION","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SB3461","JT COMMITTEE-OBSOLETE LAWS ACT","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SR57","MEMORIAL PATRICIA A RAZOOK","S","Resolution Adopted","2/7/2013"
"Dan Duffy","26","R","SR103","MEMORIAL - CAITLIN DUFFY","S","Resolution Adopted","3/1/2013"
"Dan Duffy","26","R","SR290","MEMORIAL - ESTELLE BOWEN","S","Resolution Adopted","5/9/2013"
"Dan Duffy","26","R","SR314","RED LIGHT CAMERAS","S","Session Sine Die","1/13/2015"
"Dan Duffy","26","R","SR434","MEMORIAL - MARSHALL PAPPAS","S","Resolution Adopted","10/23/2013"
"Dan Duffy","26","R","SR442","MEMORIAL - MARINA ALEXIS","S","Resolution Adopted","10/23/2013"
"Dan Duffy","26","R","SR531","MEMORIAL - THOMAS R. SLOTT","S","Resolution Adopted","10/23/2013"
"Dan Duffy","26","R","SR660","MEMORIAL - RAYMOND TRUE","S","Resolution Adopted","11/7/2013"
"Dan Duffy","26","R","SR916","MEMORIAL - RAYMOND G. CHISHOLM","S","Resolution Adopted","2/20/2014"
"Dan Duffy","26","R","SR970","MEMORIAL - HAROLD E. LIPOFSKY","S","Resolution Adopted","3/6/2014"
"Dan Duffy","26","R","SR1171","MEMORIAL - DARLENE PACE","S","Resolution Adopted","5/8/2014"
"Dan Duffy","26","R","SR1312","MEMORIAL - JANICE DALTON","S","Resolution Adopted","11/20/2014"
"Dan Duffy","26","R","SR1521","MEMORIAL - JOHN F. DALTON","S","Resolution Adopted","11/20/2014"
"Dan Duffy","26","R","SR1522","MEMORIAL - KARL AMBROZ","S","Resolution Adopted","11/20/2014"
"Gary Forby","59","D","SB114","GOVERNMENT-TECH","S","Public Act . . . . . . . . . 98-0600","12/6/2013"
"Gary Forby","59","D","SB623","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"Gary Forby","59","D","SB1284","CONCEALED CARRY-FIREARMS","S","Session Sine Die","1/13/2015"
"Gary Forby","59","D","SB1285","CRIM CD-MINOR-FIREARM-PREEMPTS","S","Session Sine Die","1/13/2015"
